instance_id,human_label
python__mypy-9629,"SC-1, IS-2"
python__mypy-10382,DP-2
python__mypy-10401,No Misalignment
python__mypy-10430,No Misalignment
python__mypy-9909,No Misalignment
python__mypy-16555,IS-2
python__mypy-11567,No Misalignment
python__mypy-11945,"FP-2, SC-3"
python__mypy-17071,SC-3
python__mypy-16905,No Misalignment
python__mypy-12417,No Misalignment
python__mypy-11707,No Misalignment
python__mypy-15139,IS-2
conan-io__conan-13788,IS-1
conan-io__conan-11560,"UL-1,IS-2"
conan-io__conan-14296,No Misalignment
conan-io__conan-13721,No Misalignment
conan-io__conan-12397,No Misalignment
conan-io__conan-14177,"UL-1,IS-2"
conan-io__conan-13610,No Misalignment
conan-io__conan-13326,UL-1
conan-io__conan-13230,No Misalignment
conan-io__conan-11594,No Misalignment
conan-io__conan-15422,DP-1
conan-io__conan-13403,No Misalignment
iterative__dvc-5822,No Misalignment
iterative__dvc-4785,No Misalignment
iterative__dvc-1712,IS-1
iterative__dvc-3677,IS-2
iterative__dvc-4185,No Misalignment
iterative__dvc-3576,"FP-2,IS-2"
iterative__dvc-1877,UL-1
iterative__dvc-5148,No Misalignment
iterative__dvc-4166,No Misalignment
iterative__dvc-2126,"FP-2,IS-1,UL-1"
iterative__dvc-5839,No Misalignment
iterative__dvc-9391,DP-1
iterative__dvc-9212,IS-1
iterative__dvc-4719,IS-2
iterative__dvc-1808,No Misalignment
iterative__dvc-1661,IS-1
iterative__dvc-4066,No Misalignment
iterative__dvc-4778,"IS-2,SC-2"
iterative__dvc-1681,No Misalignment
iterative__dvc-4961,No Misalignment
iterative__dvc-5004,No Misalignment
iterative__dvc-3527,SC-3
iterative__dvc-3315,No Misalignment
iterative__dvc-6954,No Misalignment
iterative__dvc-2231,No Misalignment
iterative__dvc-4124,No Misalignment
iterative__dvc-4125,SC-1
iterative__dvc-2254,No Misalignment
iterative__dvc-5336,"SC-3,IS-2"
iterative__dvc-3794,No Misalignment
iterative__dvc-9395,IS-1
iterative__dvc-2017,No Misalignment
iterative__dvc-3620,No Misalignment
iterative__dvc-2141,No Misalignment
iterative__dvc-3665,No Misalignment
iterative__dvc-5188,"FP-2, IS-2, SC-1"
dask__dask-6626,No Misalignment
dask__dask-6818,No Misalignment
dask__dask-8597,No Misalignment
dask__dask-7894,No Misalignment
dask__dask-8801,"UL-1,IS-2"
dask__dask-8792,No Misalignment
dask__dask-10972,No Misalignment
dask__dask-9212,No Misalignment
dask__dask-7656,No Misalignment
dask__dask-7138,No Misalignment
dask__dask-7305,DP-1
dask__dask-8820,SC-2
dask__dask-6801,No Misalignment
dask__dask-9378,No Misalignment
pydantic__pydantic-8500,No Misalignment
pydantic__pydantic-6104,No Misalignment
pydantic__pydantic-9066,DP-1
pydantic__pydantic-6283,No Misalignment
pydantic__pydantic-5662,No Misalignment
pydantic__pydantic-8316,DP-1
pydantic__pydantic-8583,"DP-1, IS-2"
pydantic__pydantic-8567,DP-1
pydantic__pydantic-9134,No Misalignment
pydantic__pydantic-8525,No Misalignment
pydantic__pydantic-8793,SC-1
pydantic__pydantic-6126,No Misalignment
pydantic__pydantic-5706,No Misalignment
pydantic__pydantic-9214,No Misalignment
pydantic__pydantic-5386,No Misalignment
pydantic__pydantic-8977,No Misalignment
pydantic__pydantic-8004,No Misalignment
pydantic__pydantic-6043,No Misalignment
pydantic__pydantic-8511,No Misalignment
pydantic__pydantic-9193,No Misalignment
pandas-dev__pandas-56849,No Misalignment
pandas-dev__pandas-53958,No Misalignment
pandas-dev__pandas-48106,No Misalignment
pandas-dev__pandas-50319,No Misalignment
pandas-dev__pandas-51605,No Misalignment
facebookresearch__hydra-2189,No Misalignment
facebookresearch__hydra-1783,No Misalignment
facebookresearch__hydra-1915,No Misalignment
facebookresearch__hydra-893,No Misalignment
facebookresearch__hydra-1791,SC-1
facebookresearch__hydra-2290,UL-1
facebookresearch__hydra-1741,UL-1
facebookresearch__hydra-1006,No Misalignment
facebookresearch__hydra-1551,No Misalignment
facebookresearch__hydra-1824,No Misalignment
facebookresearch__hydra-1661,IS-1
bokeh__bokeh-13289,No Misalignment
Project-MONAI__MONAI-4688,No Misalignment
Project-MONAI__MONAI-3715,No Misalignment
Project-MONAI__MONAI-2061,No Misalignment
Project-MONAI__MONAI-3326,"FP-2, SC-2"
Project-MONAI__MONAI-2454,No Misalignment
Project-MONAI__MONAI-5686,No Misalignment
Project-MONAI__MONAI-4676,No Misalignment
Project-MONAI__MONAI-5932,No Misalignment
Project-MONAI__MONAI-6775,No Misalignment
Project-MONAI__MONAI-6975,No Misalignment
Project-MONAI__MONAI-3205,No Misalignment
Project-MONAI__MONAI-6756,No Misalignment
Project-MONAI__MONAI-5908,No Misalignment
Project-MONAI__MONAI-4925,No Misalignment
Project-MONAI__MONAI-4109,No Misalignment
Project-MONAI__MONAI-1121,No Misalignment
Project-MONAI__MONAI-3547,No Misalignment
Project-MONAI__MONAI-907,No Misalignment
Project-MONAI__MONAI-4775,No Misalignment
Project-MONAI__MONAI-3566,SC-3
Project-MONAI__MONAI-763,No Misalignment
Project-MONAI__MONAI-3690,"IS-1, SC-2"
Project-MONAI__MONAI-4159,Others
Project-MONAI__MONAI-3403,No Misalignment
Project-MONAI__MONAI-2446,No Misalignment
Project-MONAI__MONAI-6523,No Misalignment
Project-MONAI__MONAI-4583,No Misalignment
modin-project__modin-5940,No Misalignment
modin-project__modin-6780,No Misalignment
modin-project__modin-6937,No Misalignment
modin-project__modin-6400,No Misalignment
modin-project__modin-6298,No Misalignment
Project-MONAI__MONAI-1010,No Misalignment
Project-MONAI__MONAI-1011,No Misalignment
Project-MONAI__MONAI-1012,No Misalignment
Project-MONAI__MONAI-1030,SC-2
Project-MONAI__MONAI-1037,DP-2
Project-MONAI__MONAI-1065,SC-2
Project-MONAI__MONAI-1070,No Misalignment
Project-MONAI__MONAI-1079,"SC-1,IS-2"
Project-MONAI__MONAI-1086,No Misalignment
Project-MONAI__MONAI-1093,No Misalignment
Project-MONAI__MONAI-1095,No Misalignment
Project-MONAI__MONAI-1107,No Misalignment
Project-MONAI__MONAI-1116,No Misalignment
Project-MONAI__MONAI-1532,No Misalignment
Project-MONAI__MONAI-1535,No Misalignment
Project-MONAI__MONAI-1571,No Misalignment
Project-MONAI__MONAI-1596,IS-1
Project-MONAI__MONAI-1608,No Misalignment
Project-MONAI__MONAI-1645,SC-3
Project-MONAI__MONAI-1684,No Misalignment
Project-MONAI__MONAI-1690,No Misalignment
Project-MONAI__MONAI-1746,SC-1
Project-MONAI__MONAI-1765,SC-2
Project-MONAI__MONAI-1777,No Misalignment
Project-MONAI__MONAI-1805,DP-2
Project-MONAI__MONAI-1829,UL-1
Project-MONAI__MONAI-1832,SC-2
Project-MONAI__MONAI-1836,SC-2
Project-MONAI__MONAI-1884,No Misalignment
Project-MONAI__MONAI-1885,No Misalignment
Project-MONAI__MONAI-1887,"DP-2, UL-1"
Project-MONAI__MONAI-1890,No Misalignment
Project-MONAI__MONAI-1906,No Misalignment
Project-MONAI__MONAI-1922,"DP-2,UL-1"
Project-MONAI__MONAI-1933,FP-1
Project-MONAI__MONAI-1946,No Misalignment
Project-MONAI__MONAI-1948,No Misalignment
Project-MONAI__MONAI-1961,No Misalignment
Project-MONAI__MONAI-2010,No Misalignment
Project-MONAI__MONAI-2096,No Misalignment
Project-MONAI__MONAI-2104,SC-2
Project-MONAI__MONAI-2112,No Misalignment
Project-MONAI__MONAI-2156,SC-1
Project-MONAI__MONAI-2166,No Misalignment
Project-MONAI__MONAI-2170,SC-2
Project-MONAI__MONAI-2178,No Misalignment
Project-MONAI__MONAI-2214,No Misalignment
Project-MONAI__MONAI-2228,No Misalignment
Project-MONAI__MONAI-2238,No Misalignment
Project-MONAI__MONAI-2288,SC-2
Project-MONAI__MONAI-2305,"SC-2,IS-2"
Project-MONAI__MONAI-2321,No Misalignment
Project-MONAI__MONAI-2325,"FP-2,IS-1"
Project-MONAI__MONAI-2326,FP-2
Project-MONAI__MONAI-2344,No Misalignment
Project-MONAI__MONAI-2356,No Misalignment
Project-MONAI__MONAI-2379,DP-2
Project-MONAI__MONAI-2393,FP-1
Project-MONAI__MONAI-2395,IS-1
Project-MONAI__MONAI-2421,SC-2
Project-MONAI__MONAI-2436,No Misalignment
Project-MONAI__MONAI-2465,No Misalignment
Project-MONAI__MONAI-2482,No Misalignment
Project-MONAI__MONAI-2487,No Misalignment
Project-MONAI__MONAI-2492,SC-2
Project-MONAI__MONAI-2508,No Misalignment
Project-MONAI__MONAI-2513,No Misalignment
Project-MONAI__MONAI-2530,No Misalignment
Project-MONAI__MONAI-2553,No Misalignment
Project-MONAI__MONAI-2576,No Misalignment
Project-MONAI__MONAI-2621,No Misalignment
Project-MONAI__MONAI-2645,No Misalignment
Project-MONAI__MONAI-2696,No Misalignment
Project-MONAI__MONAI-2751,"SC-1,IS-1"
Project-MONAI__MONAI-2753,UL-1
Project-MONAI__MONAI-2780,No Misalignment
Project-MONAI__MONAI-2784,IS-2
Project-MONAI__MONAI-2808,No Misalignment
Project-MONAI__MONAI-2837,"DP-2,SC-2"
Project-MONAI__MONAI-2848,FP-1
Project-MONAI__MONAI-2921,SC-2
Project-MONAI__MONAI-2937,No Misalignment
Project-MONAI__MONAI-2942,FP-1
Project-MONAI__MONAI-2952,No Misalignment
Project-MONAI__MONAI-2955,FP-2
Project-MONAI__MONAI-3001,No Misalignment
Project-MONAI__MONAI-3038,DP-1
Project-MONAI__MONAI-3041,SC-2
Project-MONAI__MONAI-3042,IS-1
Project-MONAI__MONAI-3061,No Misalignment
Project-MONAI__MONAI-3062,No Misalignment
Project-MONAI__MONAI-3094,SC-2
Project-MONAI__MONAI-3107,No Misalignment
Project-MONAI__MONAI-3113,"FP-1,DP-1"
Project-MONAI__MONAI-3125,UL-1
Project-MONAI__MONAI-3130,SC-1
Project-MONAI__MONAI-3135,SC-3
Project-MONAI__MONAI-3143,DP-1
Project-MONAI__MONAI-3157,"FP-2,SC-2"
Project-MONAI__MONAI-3186,FP-1
Project-MONAI__MONAI-3198,SC-2
Project-MONAI__MONAI-3208,No Misalignment
Project-MONAI__MONAI-3235,"DP-2,SC-2"
Project-MONAI__MONAI-3250,SC-2
Project-MONAI__MONAI-3255,SC-2
Project-MONAI__MONAI-3277,SC-1
Project-MONAI__MONAI-3289,FP-2
Project-MONAI__MONAI-3305,DP-1
Project-MONAI__MONAI-3325,"FP-2,SC-2"
Project-MONAI__MONAI-3338,SC-2
Project-MONAI__MONAI-3340,No Misalignment
Project-MONAI__MONAI-3358,SC-2
Project-MONAI__MONAI-3373,No Misalignment
Project-MONAI__MONAI-3378,No Misalignment
Project-MONAI__MONAI-3384,DP-1
Project-MONAI__MONAI-3385,"SC-2,FP-2"
Project-MONAI__MONAI-3393,"SC-2,FP-2"
Project-MONAI__MONAI-3412,DP-1
Project-MONAI__MONAI-3419,SC-4
Project-MONAI__MONAI-3436,No Misalignment
Project-MONAI__MONAI-3440,SC-2
Project-MONAI__MONAI-3464,IS-2
Project-MONAI__MONAI-3469,SC-1
Project-MONAI__MONAI-3478,No Misalignment
Project-MONAI__MONAI-3493,"SC-2,UL-1,IS-1"
Project-MONAI__MONAI-3524,No Misalignment
Project-MONAI__MONAI-3530,No Misalignment
Project-MONAI__MONAI-3532,No Misalignment
Project-MONAI__MONAI-3560,No Misalignment
Project-MONAI__MONAI-3619,No Misalignment
Project-MONAI__MONAI-3636,No Misalignment
Project-MONAI__MONAI-3662,"UL-1,SC-2"
Project-MONAI__MONAI-3675,No Misalignment
Project-MONAI__MONAI-3678,SC-3
Project-MONAI__MONAI-3711,No Misalignment
Project-MONAI__MONAI-3735,SC-1
Project-MONAI__MONAI-3782,SC-1
Project-MONAI__MONAI-3785,"FP-1,SC-2"
Project-MONAI__MONAI-3794,No Misalignment
Project-MONAI__MONAI-3796,No Misalignment
Project-MONAI__MONAI-3824,No Misalignment
Project-MONAI__MONAI-3837,No Misalignment
Project-MONAI__MONAI-3882,No Misalignment
Project-MONAI__MONAI-3913,No Misalignment
Project-MONAI__MONAI-3923,No Misalignment
Project-MONAI__MONAI-3945,SC-1
Project-MONAI__MONAI-3946,No Misalignment
Project-MONAI__MONAI-3952,UL-1
Project-MONAI__MONAI-3979,SC-3
Project-MONAI__MONAI-4036,SC-2
Project-MONAI__MONAI-4044,"SC-3,UL-1"
Project-MONAI__MONAI-4163,No Misalignment
Project-MONAI__MONAI-4168,No Misalignment
Project-MONAI__MONAI-4174,SC-1
Project-MONAI__MONAI-4186,No Misalignment
Project-MONAI__MONAI-4218,SC-2
Project-MONAI__MONAI-4249,IS-2
Project-MONAI__MONAI-4251,No Misalignment
Project-MONAI__MONAI-4263,No Misalignment
Project-MONAI__MONAI-4272,No Misalignment
Project-MONAI__MONAI-4282,No Misalignment
Project-MONAI__MONAI-4297,IS-2
Project-MONAI__MONAI-4344,No Misalignment
Project-MONAI__MONAI-4363,No Misalignment
Project-MONAI__MONAI-440,No Misalignment
Project-MONAI__MONAI-4402,No Misalignment
Project-MONAI__MONAI-4446,No Misalignment
Project-MONAI__MONAI-4479,SC-1
Project-MONAI__MONAI-4511,No Misalignment
Project-MONAI__MONAI-4567,No Misalignment
Project-MONAI__MONAI-458,No Misalignment
Project-MONAI__MONAI-459,No Misalignment
Project-MONAI__MONAI-4590,No Misalignment
Project-MONAI__MONAI-4601,No Misalignment
Project-MONAI__MONAI-4633,No Misalignment
Project-MONAI__MONAI-4638,SC-1
Project-MONAI__MONAI-4642,No Misalignment
Project-MONAI__MONAI-4662,No Misalignment
Project-MONAI__MONAI-4686,No Misalignment
Project-MONAI__MONAI-4689,SC-1
Project-MONAI__MONAI-4695,SC-1
Project-MONAI__MONAI-4709,No Misalignment
Project-MONAI__MONAI-4716,No Misalignment
Project-MONAI__MONAI-4721,SC-2
Project-MONAI__MONAI-4725,No Misalignment
Project-MONAI__MONAI-4729,FP-2
Project-MONAI__MONAI-4733,No Misalignment
Project-MONAI__MONAI-4736,No Misalignment
Project-MONAI__MONAI-4738,"UL-1,IS-1"
Project-MONAI__MONAI-4745,No Misalignment
Project-MONAI__MONAI-4749,DP-2
Project-MONAI__MONAI-4796,No Misalignment
Project-MONAI__MONAI-4800,SC-1
Project-MONAI__MONAI-4819,"FP-1, IS-2"
Project-MONAI__MONAI-4843,No Misalignment
Project-MONAI__MONAI-4847,No Misalignment
Project-MONAI__MONAI-4876,SC-1
Project-MONAI__MONAI-4877,No Misalignment
Project-MONAI__MONAI-489,No Misalignment
Project-MONAI__MONAI-4908,No Misalignment
Project-MONAI__MONAI-4943,No Misalignment
Project-MONAI__MONAI-4972,FP-2
Project-MONAI__MONAI-4977,SC-1
Project-MONAI__MONAI-4991,No Misalignment
Project-MONAI__MONAI-5003,No Misalignment
Project-MONAI__MONAI-506,SC-2
Project-MONAI__MONAI-5067,IS-2
Project-MONAI__MONAI-5075,IS-2
Project-MONAI__MONAI-5077,SC-1
Project-MONAI__MONAI-5089,SC-1
Project-MONAI__MONAI-5093,IS-2
Project-MONAI__MONAI-5107,SC-2
Project-MONAI__MONAI-511,"SC-1,FP-2,IS-2"
Project-MONAI__MONAI-5117,No Misalignment
Project-MONAI__MONAI-5119,No Misalignment
Project-MONAI__MONAI-5129,SC-2
Project-MONAI__MONAI-5182,No Misalignment
Project-MONAI__MONAI-5183,No Misalignment
Project-MONAI__MONAI-5189,SC-2
Project-MONAI__MONAI-5208,No Misalignment
Project-MONAI__MONAI-5212,No Misalignment
Project-MONAI__MONAI-5217,No Misalignment
Project-MONAI__MONAI-5223,No Misalignment
Project-MONAI__MONAI-5236,No Misalignment
Project-MONAI__MONAI-524,FP-1
Project-MONAI__MONAI-5248,No Misalignment
Project-MONAI__MONAI-5252,SC-2
Project-MONAI__MONAI-5254,No Misalignment
Project-MONAI__MONAI-5306,No Misalignment
Project-MONAI__MONAI-5388,"SC-2,DP-2"
Project-MONAI__MONAI-5397,No Misalignment
Project-MONAI__MONAI-5405,SC-2
Project-MONAI__MONAI-5415,No Misalignment
Project-MONAI__MONAI-5416,No Misalignment
Project-MONAI__MONAI-5423,No Misalignment
Project-MONAI__MONAI-5428,No Misalignment
Project-MONAI__MONAI-543,No Misalignment
Project-MONAI__MONAI-5433,No Misalignment
Project-MONAI__MONAI-5468,DP-1
Project-MONAI__MONAI-5473,"SC-2,IS-2"
Project-MONAI__MONAI-5486,SC-1
Project-MONAI__MONAI-5503,SC-3
Project-MONAI__MONAI-5506,SC-2
Project-MONAI__MONAI-5507,UL-1
Project-MONAI__MONAI-5518,SC-2
Project-MONAI__MONAI-5526,Others
Project-MONAI__MONAI-5543,SC-2
Project-MONAI__MONAI-5550,"IS-2, DP-1"
Project-MONAI__MONAI-5560,No Misalignment
Project-MONAI__MONAI-5640,No Misalignment
Project-MONAI__MONAI-5656,No Misalignment
Project-MONAI__MONAI-5680,No Misalignment
Project-MONAI__MONAI-5710,SC-1
Project-MONAI__MONAI-5771,No Misalignment
Project-MONAI__MONAI-578,No Misalignment
Project-MONAI__MONAI-5807,No Misalignment
Project-MONAI__MONAI-5845,SC-3
Project-MONAI__MONAI-5854,No Misalignment
Project-MONAI__MONAI-5856,No Misalignment
Project-MONAI__MONAI-5877,Others
Project-MONAI__MONAI-5880,IS-2
Project-MONAI__MONAI-5916,SC-2
Project-MONAI__MONAI-5924,"SC-3,DP-2"
Project-MONAI__MONAI-5950,No Misalignment
Project-MONAI__MONAI-5965,No Misalignment
Project-MONAI__MONAI-5980,UL-1
Project-MONAI__MONAI-5982,No Misalignment
Project-MONAI__MONAI-600,SC-2
Project-MONAI__MONAI-6008,No Misalignment
Project-MONAI__MONAI-6034,No Misalignment
Project-MONAI__MONAI-6055,SC-3
Project-MONAI__MONAI-6058,SC-2
Project-MONAI__MONAI-6080,FP-2
Project-MONAI__MONAI-6090,SC-1
Project-MONAI__MONAI-6127,No Misalignment
Project-MONAI__MONAI-6139,No Misalignment
Project-MONAI__MONAI-6144,No Misalignment
Project-MONAI__MONAI-6147,"SC-1,IS-2"
Project-MONAI__MONAI-6158,SC-1
Project-MONAI__MONAI-6244,No Misalignment
Project-MONAI__MONAI-6246,SC-1
Project-MONAI__MONAI-6271,"DP-1,SC-2"
Project-MONAI__MONAI-6308,FP-2
Project-MONAI__MONAI-6344,SC-2
Project-MONAI__MONAI-6385,No Misalignment
Project-MONAI__MONAI-6400,No Misalignment
Project-MONAI__MONAI-6405,No Misalignment
Project-MONAI__MONAI-6412,No Misalignment
Project-MONAI__MONAI-6413,No Misalignment
Project-MONAI__MONAI-6429,UL
Project-MONAI__MONAI-6446,"SC-1,IS-2"
Project-MONAI__MONAI-645,"SC-1,DP-1"
Project-MONAI__MONAI-6459,No Misalignment
Project-MONAI__MONAI-646,No Misalignment
Project-MONAI__MONAI-648,No Misalignment
Project-MONAI__MONAI-6514,No Misalignment
Project-MONAI__MONAI-6544,No Misalignment
Project-MONAI__MONAI-6560,No Misalignment
Project-MONAI__MONAI-6662,No Misalignment
Project-MONAI__MONAI-6681,FP-1
Project-MONAI__MONAI-6686,DP-1
Project-MONAI__MONAI-6719,No Misalignment
Project-MONAI__MONAI-673,SC-3
Project-MONAI__MONAI-6735,No Misalignment
Project-MONAI__MONAI-6736,"FP-1,IS-1"
Project-MONAI__MONAI-6774,No Misalignment
Project-MONAI__MONAI-6781,No Misalignment
Project-MONAI__MONAI-6793,No Misalignment
Project-MONAI__MONAI-6795,No Misalignment
Project-MONAI__MONAI-682,UL-1
Project-MONAI__MONAI-6849,No Misalignment
Project-MONAI__MONAI-6874,No Misalignment
Project-MONAI__MONAI-6895,No Misalignment
Project-MONAI__MONAI-6910,No Misalignment
Project-MONAI__MONAI-6912,No Misalignment
Project-MONAI__MONAI-6924,No Misalignment
Project-MONAI__MONAI-6935,No Misalignment
Project-MONAI__MONAI-6943,No Misalignment
Project-MONAI__MONAI-6955,IS-2
Project-MONAI__MONAI-6965,DP-1
Project-MONAI__MONAI-6969,FP-1
Project-MONAI__MONAI-6977,No Misalignment
Project-MONAI__MONAI-6986,No Misalignment
Project-MONAI__MONAI-6997,IS-1
Project-MONAI__MONAI-7000,No Misalignment
Project-MONAI__MONAI-7025,"FP-2,IS-1"
Project-MONAI__MONAI-7098,No Misalignment
Project-MONAI__MONAI-7104,No Misalignment
Project-MONAI__MONAI-7108,No Misalignment
Project-MONAI__MONAI-7121,SC-2
Project-MONAI__MONAI-7137,No Misalignment
Project-MONAI__MONAI-7163,"SC-1,UL-1"
Project-MONAI__MONAI-7180,SC-3
Project-MONAI__MONAI-7318,No Misalignment
Project-MONAI__MONAI-7395,No Misalignment
Project-MONAI__MONAI-7542,SC
Project-MONAI__MONAI-7548,No Misalignment
Project-MONAI__MONAI-7549,"SC-2,UL-1"
Project-MONAI__MONAI-7604,No Misalignment
Project-MONAI__MONAI-7734,No Misalignment
Project-MONAI__MONAI-7749,No Misalignment
Project-MONAI__MONAI-7754,SC-2
Project-MONAI__MONAI-803,SC-2
Project-MONAI__MONAI-855,No Misalignment
Project-MONAI__MONAI-865,No Misalignment
Project-MONAI__MONAI-890,No Misalignment
Project-MONAI__MONAI-941,SC-2
getmoto__moto-4951,No Misalignment
getmoto__moto-6332,UL
getmoto__moto-5213,No Misalignment
getmoto__moto-5654,UL
getmoto__moto-6919,IS-2
getmoto__moto-6863,UL
getmoto__moto-6439,SC-2
getmoto__moto-5486,IS-1
getmoto__moto-5155,No Misalignment
getmoto__moto-5058,No Misalignment
getmoto__moto-6444,"SC-3,UL-1,DP-1"
getmoto__moto-6637,No Misalignment
getmoto__moto-7418,SC-1
getmoto__moto-4969,IS-1
getmoto__moto-5841,No Misalignment
getmoto__moto-5516,No Misalignment
getmoto__moto-5482,No Misalignment
getmoto__moto-6810,No Misalignment
getmoto__moto-6867,SC-2
getmoto__moto-4860,No Misalignment
getmoto__moto-4817,"UL,SC-1"
getmoto__moto-7566,UL
getmoto__moto-6633,No Misalignment
getmoto__moto-5718,No Misalignment
getmoto__moto-6743,No Misalignment
getmoto__moto-6734,SC-3
getmoto__moto-5258,No Misalignment
getmoto__moto-6828,No Misalignment
getmoto__moto-7317,No Misalignment
getmoto__moto-7283,No Misalignment
getmoto__moto-5873,"DP-1,UL-1"
getmoto__moto-4792,No Misalignment
getmoto__moto-6795,No Misalignment
getmoto__moto-7119,IS-2
getmoto__moto-5475,No Misalignment
getmoto__moto-7336,SC-4
getmoto__moto-6727,"IS-1,UL-1"
getmoto__moto-7035,No Misalignment
getmoto__moto-5107,No Misalignment
getmoto__moto-7373,No Misalignment
getmoto__moto-6618,No Misalignment
getmoto__moto-6352,No Misalignment
getmoto__moto-6255,"UL-1,SC-2"
getmoto__moto-6222,No Misalignment
getmoto__moto-5634,No Misalignment
getmoto__moto-7177,No Misalignment
getmoto__moto-6786,No Misalignment
getmoto__moto-5734,DP-1
getmoto__moto-5373,No Misalignment
getmoto__moto-7537,No Misalignment
getmoto__moto-4846,UL
getmoto__moto-5644,No Misalignment
getmoto__moto-5177,No Misalignment
getmoto__moto-7390,No Misalignment
getmoto__moto-7303,IS-2
getmoto__moto-6056,No Misalignment
getmoto__moto-4809,No Misalignment
getmoto__moto-4890,SC-1
getmoto__moto-6720,"SC-2,IS-2"
getmoto__moto-5706,IS-1
getmoto__moto-7148,No Misalignment
getmoto__moto-5601,No Misalignment
getmoto__moto-4874,"UL,SC-2"
getmoto__moto-5575,UL-1
getmoto__moto-6804,UL
getmoto__moto-6019,UL-1
getmoto__moto-6187,IS-1
getmoto__moto-7524,No Misalignment
getmoto__moto-5384,No Misalignment
getmoto__moto-5119,No Misalignment
getmoto__moto-6578,No Misalignment
getmoto__moto-5809,No Misalignment
getmoto__moto-5997,"SC-3, UL-1"
getmoto__moto-5164,No Misalignment
getmoto__moto-6204,UL-1
getmoto__moto-4867,No Misalignment
getmoto__moto-5255,No Misalignment
getmoto__moto-6303,"SC-2,DP-2"
getmoto__moto-6374,No Misalignment
getmoto__moto-5582,"SC-3, UL-1"
getmoto__moto-6884,No Misalignment
getmoto__moto-6107,No Misalignment
getmoto__moto-5566,No Misalignment
getmoto__moto-5511,UL-1
getmoto__moto-7328,UL
python__mypy-9903,SC-2
python__mypy-15045,No Misalignment
python__mypy-17028,FP-2
python__mypy-9380,DP-1
python__mypy-16154,IS-2
python__mypy-11713,IS-2
python__mypy-14835,"DP-1, SC-3"
python__mypy-13015,"SC-3,IS-2"
python__mypy-11417,IS-1
python__mypy-16503,DP-1
python__mypy-11267,UL-1
python__mypy-15503,UL-1
python__mypy-11585,"IS-1,UL-1"
python__mypy-14988,No Misalignment
python__mypy-10036,No Misalignment
python__mypy-10683,DP-1
python__mypy-15996,No Misalignment
python__mypy-15882,SC-1
python__mypy-12767,No Misalignment
python__mypy-11317,UL-1
